TICKER,CUSIP,CNAME,OFTIC,ACTDATS,ESTIMID,ANALYST,ERECCD,ETEXT,IRECCD,ITEXT,EMASKCD,AMASKCD,USFIRM,ACTTIMS,REVDATS,REVTIMS,ANNDATS,ANNTIMS
MSFT,59491810,MICROSOFT,MSFT,8/12/2022,GUGGEL,DIFUCCI       J,3,NEUTRAL,3,HOLD,39862,198768,1,8:37:56,10/26/2022,6:11:32,8/11/2022,23:26:00
MSFT,59491810,MICROSOFT,MSFT,9/22/2022,MOFFETT,AUTY          S,2,NEUTRAL,3,HOLD,41314,50381,1,14:32:16,2/9/2023,6:11:04,9/22/2022,6:54:00
MSFT,59491810,MICROSOFT,MSFT,9/30/2022,RAYMOND,MAROK         A,2,OUTPERFORM,2,BUY,1929,192545,1,9:43:44,1/27/2023,4:14:27,9/29/2022,16:30:00
MSFT,59491810,MICROSOFT,MSFT,10/31/2022,BEHINUM,MIDDLESWART   J,3,ACCEPTABLE,3,HOLD,41767,196100,1,8:55:06,10/31/2022,8:55:06,10/31/2022,7:31:00
MSFT,59491810,MICROSOFT,MSFT,11/2/2022,MACQUARI,HINDLIAN      S,,NEUTRAL,3,HOLD,1449,182986,1,8:51:30,1/26/2023,8:32:25,11/2/2022,8:31:00
MSFT,59491810,MICROSOFT,MSFT,11/3/2022,BAPTISTA,MAJUMDAR      I,2,OUTPERFORM,2,BUY,41712,194536,1,19:34:51,11/3/2022,19:34:51,11/3/2022,15:05:00
MSFT,59491810,MICROSOFT,MSFT,11/4/2022,FUNDARES,RAJEEV        S,1,BUY,2,BUY,41657,166271,1,1:54:11,11/4/2022,1:54:11,11/4/2022,1:19:00
MSFT,59491810,MICROSOFT,MSFT,12/5/2022,BEHINUM,MIDDLESWART   J,3,ACCEPTABLE,3,HOLD,41767,196100,1,9:57:32,12/5/2022,9:57:32,12/5/2022,5:30:00
MSFT,59491810,MICROSOFT,MSFT,1/4/2023,DAVIDSON,LURIA         G,6,BUY,2,BUY,691,115953,1,22:08:56,3/16/2023,14:47:45,1/4/2023,16:33:00
MSFT,59491810,MICROSOFT,MSFT,1/16/2023,CHINAFA,CHEN          F,,OUTPERFORM,1,STRONG BUY,4975,195982,1,6:32:25,2/13/2023,8:20:52,10/27/2022,21:00:00
MSFT,59491810,MICROSOFT,MSFT,1/18/2023,GUGGEL,DIFUCCI       J,5,SELL,5,SELL,39862,198768,1,8:42:03,2/7/2023,20:48:42,1/18/2023,6:09:00
MSFT,59491810,MICROSOFT,MSFT,1/25/2023,BURNS,BACHMAN       K,3,MARKET PERFORM,3,HOLD,364,70706,1,7:16:54,3/16/2023,17:29:11,1/25/2023,6:25:00
MSFT,59491810,MICROSOFT,MSFT,1/29/2023,FUNDARES,RAJEEV        S,2,HOLD,3,HOLD,41657,166271,1,18:53:00,1/29/2023,18:53:00,1/29/2023,3:21:00
MSFT,59491810,MICROSOFT,MSFT,1/30/2023,BAPTISTA,MAJUMDAR      I,1,BUY,1,STRONG BUY,41712,194536,1,13:18:11,1/30/2023,13:18:11,1/30/2023,12:25:00
MSFT,59491810,MICROSOFT,MSFT,2/8/2023,INDUS,HONG          J,2,OUTPERFORM,2,BUY,38822,195541,1,8:00:50,2/8/2023,8:00:50,2/8/2023,4:23:00
MSFT,59491810,MICROSOFT,MSFT,2/19/2023,CRISPIDE,MUNDRA        P,2,HOLD,3,HOLD,39591,198190,1,19:23:45,2/19/2023,19:23:45,2/19/2023,8:01:00
